year,month,gs1,ebp,ff4_tc,ipgr,infl
2009,7,0.48,0.07803,0,0.861199999999997,-0.0330999999999904
2009,8,0.46,-0.228104,-0.0032258,1.04770000000002,0.335699999999974
2009,9,0.4,-0.144004,-0.0057743,0.67919999999998,0.203100000000063
2009,10,0.37,-0.348584,-0.0109999,0.313500000000033,0.278400000000033
2009,11,0.31,-0.151492,-0.008991,0.481699999999989,0.314999999999941
2009,12,0.37,-0.569734,-0.0035796,0.465399999999988,0.0920999999999594
2010,1,0.35,-0.229574,-0.0024195,1.05180000000001,0.0520000000000209
2010,2,0.35,0.036577,0,0.383699999999976,-0.0561000000000149
2010,3,0.4,-0.093996,-0.0051613,0.754099999999994,0.0110000000000809
2010,4,0.45,-0.227013,-0.0058386,0.333100000000002,-0.0456000000000358
2010,5,0.37,-0.177303,-0.0090001,1.565,-0.0235000000000127
2010,6,0.32,-0.040396,0,0.219200000000001,0.0456000000000358
2010,7,0.29,0.16767,0,0.583200000000033,0.16599999999994
2010,8,0.26,-0.489363,0,0.265699999999981,0.151500000000055
2010,9,0.26,-0.085991,0.0016668,0.254799999999989,0.136999999999944
2010,10,0.23,-0.035421,0.0033333,-0.342799999999954,0.309600000000046
2010,11,0.25,-0.155059,0.0046666,0.269399999999962,0.216699999999946
2010,12,0.29,-0.403172,0.0003333,0.983000000000004,0.453300000000013
2011,1,0.27,0.081907,-0.0009677,-0.122700000000009,0.271299999999997
2011,2,0.29,-0.217003,-0.0040321,-0.469699999999989,0.379700000000071
2011,3,0.26,-0.250326,0,1.01339999999999,0.538399999999911
2011,4,0.25,-0.216373,0,-0.578599999999994,0.345900000000029
2011,5,0.19,-0.084545,0,0.362400000000036,0.387000000000057
2011,6,0.18,0.081981,-0.0015001,0.177199999999971,0.143599999999992
2011,7,0.19,-0.020915,-0.0035,0.569299999999998,0.232499999999959
2011,8,0.11,-0.250424,-0.0037096,0.545900000000017,0.262500000000045
2011,9,0.1,0.289268,0.0053763,0.106600000000014,0.249900000000025
2011,10,0.11,-0.306556,0.0133333,0.556499999999971,-0.0110000000000809
2011,11,0.11,0.382049,0.0096667,0.22399999999999,0.141500000000065
2011,12,0.12,0.10295,0.0003333,0.592300000000023,0.0387999999999238
2012,1,0.12,0.030121,0,0.700999999999965,0.205800000000067
2012,2,0.16,-0.121284,0,0.488700000000051,0.284299999999917
2012,3,0.19,-0.529989,0,-0.547600000000045,0.3048
2012,4,0.18,-0.367213,0,0.744000000000028,0.000500000000101863
2012,5,0.19,-0.350847,0,0.254700000000014,-0.132400000000075
2012,6,0.19,-0.067985,0.0036666,0.0287999999999897,0.120600000000081
